SchoolDistrict,TotalPop,White,NonWhite,WhiteOrNonLatino%,NonWhiteOrLatino%
Rocklin Unified ,67658.0,48582.0,19076.0,0.7180525584557628,0.2819474415442372
Hesperia Unified ,108655.0,34751.0,73904.0,0.31982881597717544,0.6801711840228245
Upland Unified ,78784.0,29707.0,49077.0,0.37706894800974816,0.6229310519902518
Apple Valley Unified ,81643.0,41209.0,40434.0,0.5047462734098453,0.4952537265901547
Pleasanton Unified ,82375.0,41540.0,40835.0,0.5042792109256449,0.4957207890743551
Lake Elsinore Unified ,138775.0,53521.0,85254.0,0.3856674473067916,0.6143325526932084
Temecula Valley Unified ,167128.0,86393.0,80735.0,0.5169271456608109,0.4830728543391891
Murrieta Valley Unified ,121697.0,63290.0,58407.0,0.5200621214984757,0.47993787850152425
Redondo Beach Unified ,66757.0,40038.0,26719.0,0.5997573288194497,0.40024267118055035
Natomas Unified ,83980.0,22948.0,61032.0,0.27325553703262684,0.7267444629673732
Tracy Unified ,85866.0,26377.0,59489.0,0.3071879440057764,0.6928120559942236
Alhambra Unified ,114812.0,8547.0,106265.0,0.07444343796815664,0.9255565620318433
Turlock Unified ,76010.0,37453.0,38557.0,0.49273779765820286,0.5072622023417971
Twin Rivers Unified ,187886.0,70086.0,117800.0,0.373024067785785,0.626975932214215
Santa Barbara Unified ,86268.0,48187.0,38081.0,0.5585732832568275,0.44142671674317246
ABC Unified ,103849.0,12652.0,91197.0,0.12183073500948492,0.8781692649905151
Alameda City Unified ,77630.0,31608.0,46022.0,0.407162179569754,0.592837820430246
Alvord Unified ,124268.0,24810.0,99458.0,0.19964914539543568,0.8003508546045643
Antioch Unified ,116612.0,31867.0,84745.0,0.27327376256302954,0.7267262374369705
Azusa Unified ,68544.0,12215.0,56329.0,0.17820669934640523,0.8217933006535948
Baldwin Park Unified ,74284.0,2358.0,71926.0,0.03174304022400517,0.9682569597759948
Beaumont Unified ,67811.0,24853.0,42958.0,0.3665039595345888,0.6334960404654112
