DName,Enroll12,NumTSTTakr12,NumERWBenchmark12,NumMathBenchmark12,TotNumBothBenchmark12,PctTstTakers,PctERWBenchmark12,PctMathBenchmark12,PctBothBenchmark12,SchoolDistrict,TotalPop,White,NonWhite,WhiteOrNonLatino%,NonWhiteOrLatino%,PctDiv,DiversityCat
ABC Unified,3099,1260,1041.0,839.0,805.0,0.40658276863504356,0.8261904761904761,0.6658730158730158,0.6388888888888888,ABC Unified,103849.0,12652.0,91197.0,0.12183073500948492,0.8781692649905151,0.8781692649905151,3
Alhambra Unified,3656,1624,1287.0,1124.0,1038.0,0.4442013129102845,0.7924876847290641,0.6921182266009852,0.6391625615763546,Alhambra Unified,114812.0,8547.0,106265.0,0.07444343796815664,0.9255565620318432,0.9255565620318433,3
Alvord Unified,2809,704,447.0,286.0,258.0,0.25062299750801,0.6349431818181818,0.40625,0.3664772727272727,Alvord Unified,124268.0,24810.0,99458.0,0.19964914539543568,0.8003508546045643,0.8003508546045643,2
Antioch Unified,2675,570,380.0,234.0,212.0,0.2130841121495327,0.6666666666666666,0.4105263157894737,0.3719298245614035,Antioch Unified,116612.0,31867.0,84745.0,0.27327376256302954,0.7267262374369705,0.7267262374369705,2
Apple Valley Unified,2105,632,512.0,248.0,236.0,0.3002375296912114,0.810126582278481,0.3924050632911392,0.37341772151898733,Apple Valley Unified,81643.0,41209.0,40434.0,0.5047462734098453,0.4952537265901547,0.49525372659015465,1
Azusa Unified,1225,373,258.0,150.0,144.0,0.30448979591836733,0.6916890080428955,0.40214477211796246,0.38605898123324395,Azusa Unified,68544.0,12215.0,56329.0,0.17820669934640526,0.8217933006535948,0.8217933006535947,3
Baldwin Park Unified,3182,856,548.0,298.0,264.0,0.2690131992457574,0.6401869158878505,0.34813084112149534,0.308411214953271,Baldwin Park Unified,74284.0,2358.0,71926.0,0.03174304022400517,0.9682569597759948,0.9682569597759948,3
Beaumont Unified,1387,1148,673.0,329.0,317.0,0.8276856524873828,0.5862369337979094,0.2865853658536585,0.2761324041811847,Beaumont Unified,67811.0,24853.0,42958.0,0.3665039595345888,0.6334960404654112,0.6334960404654112,2
Bellflower Unified,1772,525,413.0,276.0,260.0,0.29627539503386,0.7866666666666666,0.5257142857142857,0.49523809523809526,Bellflower Unified,78711.0,12645.0,66066.0,0.1606509890612494,0.8393490109387506,0.8393490109387506,3
Berkeley Unified,1535,613,545.0,449.0,442.0,0.3993485342019544,0.8890701468189234,0.732463295269168,0.7210440456769984,Berkeley Unified,121353.0,65147.0,56206.0,0.5368388090941304,0.4631611909058697,0.4631611909058696,0
Burbank Unified,2501,1043,877.0,754.0,718.0,0.41703318672530987,0.840843720038351,0.7229146692233941,0.6883988494726749,Burbank Unified,102508.0,56802.0,45706.0,0.5541226050649706,0.4458773949350295,0.4458773949350294,0
Capistrano Unified,9418,2656,2415.0,1995.0,1955.0,0.28201316627734124,0.9092620481927711,0.7511295180722891,0.7360692771084337,Capistrano Unified,356488.0,241735.0,114753.0,0.6781013666659186,0.32189863333408136,0.3218986333340814,0
Carlsbad Unified,1745,679,619.0,523.0,515.0,0.3891117478510029,0.9116347569955817,0.7702503681885126,0.7584683357879234,Carlsbad Unified,78745.0,52815.0,25930.0,0.6707092513810401,0.32929074861896,0.3292907486189599,0
Central Unified,2009,758,448.0,196.0,188.0,0.3773021403683425,0.5910290237467019,0.25857519788918204,0.24802110817941952,Central Unified,87721.0,20216.0,67505.0,0.2304579291161752,0.7695420708838249,0.7695420708838248,2
Chico Unified,2206,586,506.0,422.0,402.0,0.2656391659111514,0.863481228668942,0.7201365187713311,0.6860068259385665,Chico Unified,126336.0,91713.0,34623.0,0.7259450987841946,0.27405490121580545,0.27405490121580545,0
Chino Valley Unified,4815,3573,2363.0,1650.0,1558.0,0.7420560747663552,0.6613490064371677,0.4617968094038623,0.4360481388189197,Chino Valley Unified,202651.0,50964.0,151687.0,0.2514865458349576,0.7485134541650423,0.7485134541650424,2
Clovis Unified,6351,2405,2009.0,1485.0,1439.0,0.37868052275232245,0.8353430353430353,0.6174636174636174,0.5983367983367983,Clovis Unified,223347.0,110295.0,113052.0,0.4938279896304853,0.5061720103695146,0.5061720103695146,1
Colton Joint Unified,3050,795,508.0,298.0,272.0,0.260655737704918,0.6389937106918239,0.37484276729559746,0.3421383647798742,Colton Joint Unified,118890.0,19644.0,99246.0,0.16522836235175373,0.8347716376482462,0.8347716376482462,3
Compton Unified,2444,556,230.0,90.0,82.0,0.22749590834697217,0.4136690647482014,0.1618705035971223,0.1474820143884892,Compton Unified,152135.0,2233.0,149902.0,0.014677753311203863,0.985322246688796,0.9853222466887961,3
Conejo Valley Unified,3438,1209,1134.0,935.0,931.0,0.35165794066317624,0.9379652605459057,0.7733664185277088,0.7700578990901572,Conejo Valley Unified,134616.0,91997.0,42619.0,0.683403161585547,0.31659683841445296,0.31659683841445296,0
Corona-Norco Unified,8455,3466,2706.0,1979.0,1861.0,0.4099349497338853,0.7807270628967109,0.5709751875360646,0.5369301788805539,Corona-Norco Unified,294363.0,93095.0,201268.0,0.31625917659488456,0.6837408234051154,0.6837408234051154,2
Covina-Valley Unified,2126,1996,922.0,558.0,492.0,0.9388523047977423,0.4619238476953908,0.27955911823647295,0.24649298597194388,Covina-Valley Unified,70296.0,15446.0,54850.0,0.21972800728348696,0.7802719927165129,0.780271992716513,2
Davis Joint Unified,1374,613,585.0,548.0,536.0,0.44614264919941776,0.9543230016313213,0.8939641109298532,0.8743882544861338,Davis Joint Unified,80294.0,38833.0,41461.0,0.4836351408573493,0.5163648591426507,0.5163648591426506,1
Desert Sands Unified,4591,1502,1041.0,529.0,509.0,0.327161838379438,0.6930758988015979,0.3521970705725699,0.3388814913448735,Desert Sands Unified,185979.0,92396.0,93583.0,0.496808779485856,0.5031912205141441,0.503191220514144,1
Downey Unified,4042,1462,1086.0,706.0,662.0,0.3617021276595745,0.7428180574555403,0.4829001367989056,0.4528043775649795,Downey Unified,117669.0,12974.0,104695.0,0.11025843680153652,0.8897415631984635,0.8897415631984635,3
Elk Grove Unified,9773,3764,2930.0,2231.0,2099.0,0.385142740202599,0.7784272051009564,0.592720510095643,0.5576514346439958,Elk Grove Unified,338332.0,98451.0,239881.0,0.2909893240958585,0.7090106759041415,0.7090106759041415,2
Fairfield-Suisun Unified,2866,785,598.0,412.0,384.0,0.2739009071877181,0.7617834394904459,0.5248407643312102,0.489171974522293,Fairfield-Suisun Unified,139540.0,44679.0,94861.0,0.3201877597821413,0.6798122402178587,0.6798122402178587,2
Folsom-Cordova Unified,2996,917,815.0,688.0,665.0,0.3060747663551402,0.8887677208287895,0.7502726281352236,0.7251908396946565,Folsom-Cordova Unified,136113.0,74902.0,61211.0,0.5502927714472534,0.44970722855274653,0.4497072285527466,0
Fontana Unified,5524,1992,1130.0,614.0,552.0,0.3606082548877625,0.5672690763052208,0.30823293172690763,0.27710843373493976,Fontana Unified,181070.0,19127.0,161943.0,0.10563318053791353,0.8943668194620865,0.8943668194620865,3
Fremont Unified,4829,1680,1524.0,1382.0,1348.0,0.3478981155518741,0.9071428571428571,0.8226190476190476,0.8023809523809524,Fremont Unified,241117.0,45991.0,195126.0,0.1907414242877939,0.8092585757122059,0.8092585757122062,3
Fresno Unified,8370,2083,1212.0,685.0,643.0,0.24886499402628434,0.5818530964954393,0.32885261641862695,0.3086893903024484,Fresno Unified,375699.0,93315.0,282384.0,0.24837702522498065,0.7516229747750194,0.7516229747750194,2
Garden Grove Unified,7002,3148,2370.0,1778.0,1668.0,0.44958583261925167,0.752858958068615,0.5648030495552732,0.5298602287166455,Garden Grove Unified,265161.0,41681.0,223480.0,0.15719129132866447,0.8428087086713355,0.8428087086713355,3
Gilroy Unified,1807,670,496.0,356.0,332.0,0.3707802988378528,0.7402985074626866,0.5313432835820896,0.4955223880597015,Gilroy Unified,65727.0,15300.0,50427.0,0.23278104888402024,0.7672189511159797,0.7672189511159797,2
Glendale Unified,3731,1274,1142.0,998.0,968.0,0.34146341463414637,0.8963893249607535,0.783359497645212,0.7598116169544741,Glendale Unified,224253.0,129530.0,94723.0,0.5776065426103553,0.4223934573896447,0.42239345738964473,0
Hayward Unified,2995,1097,681.0,477.0,431.0,0.3662771285475793,0.6207839562443026,0.43482224247948953,0.39288969917958066,Hayward Unified,179398.0,29660.0,149738.0,0.1653307171763342,0.8346692828236658,0.8346692828236658,3
Hemet Unified,3477,2381,1165.0,575.0,543.0,0.6847857348288755,0.4892902141957161,0.24149517009659807,0.22805543889122218,Hemet Unified,151024.0,64148.0,86876.0,0.4247536815340608,0.5752463184659392,0.5752463184659392,1
Hesperia Unified,3543,931,598.0,326.0,289.0,0.2627716624329664,0.6423200859291085,0.3501611170784103,0.3104189044038668,Hesperia Unified,108655.0,34751.0,73904.0,0.31982881597717544,0.6801711840228245,0.6801711840228246,2
Inglewood Unified,1304,500,244.0,96.0,94.0,0.3834355828220859,0.488,0.192,0.188,Inglewood Unified,110693.0,7026.0,103667.0,0.06347284832825924,0.9365271516717408,0.9365271516717407,3
Irvine Unified,4957,1659,1571.0,1497.0,1461.0,0.334678232802098,0.946955997588909,0.9023508137432188,0.8806509945750453,Irvine Unified,259482.0,104447.0,155035.0,0.4025211768060983,0.5974788231939017,0.5974788231939017,1
Jurupa Unified,2758,765,455.0,265.0,253.0,0.2773749093546048,0.5947712418300654,0.3464052287581699,0.330718954248366,Jurupa Unified,109884.0,22062.0,87822.0,0.20077536311018893,0.7992246368898108,0.799224636889811,2
Lake Elsinore Unified,2928,980,673.0,438.0,400.0,0.33469945355191255,0.686734693877551,0.44693877551020406,0.40816326530612246,Lake Elsinore Unified,138775.0,53521.0,85254.0,0.3856674473067916,0.6143325526932084,0.6143325526932084,1
Las Virgenes Unified,1969,674,618.0,508.0,496.0,0.34230573895378363,0.9169139465875371,0.7537091988130564,0.7359050445103857,Las Virgenes Unified,63321.0,49849.0,13472.0,0.7872427788569353,0.2127572211430647,0.21275722114306472,0
